Name	Value	Access	
MCR	0x1fff0004	ReadWrite	
IOCR	0x00006000	ReadWrite	
BMCR0	0x00104085	ReadWrite	
BMCR1	0x40602485	ReadWrite	
BR0	0x00000000	ReadWrite	
BR1	0x00000000	ReadWrite	
BR2	0x00000000	ReadWrite	
BR3	0x00000000	ReadWrite	
BR4	0x00000000	ReadWrite	
BR5	0x00000000	ReadWrite	
BR6	0x90000037	ReadWrite	
BR7	0x00000000	ReadWrite	
BR8	0x00000000	ReadWrite	
DLLCR	0x00000100	ReadWrite	
INTEN	0x00000000	ReadWrite	
INTR	0x00000000	ReadWrite	
SDRAMCR0	0x00000f32	ReadWrite	
SDRAMCR1	0x00772a22	ReadWrite	
SDRAMCR2	0x00010a0d	ReadWrite	
SDRAMCR3	0x21210409	ReadWrite	
NANDCR0	0x00000000	ReadWrite	
NANDCR1	0x00000000	ReadWrite	
NANDCR2	0x00010410	ReadWrite	
NANDCR3	0x00000000	ReadWrite	
NORCR0	0x00000000	ReadWrite	
NORCR1	0x00000000	ReadWrite	
NORCR2	0x00000000	ReadWrite	
NORCR3	0x00000000	ReadWrite	
SRAMCR0	0x0000f200	ReadWrite	
SRAMCR1	0x33333333	ReadWrite	
SRAMCR2	0x43343343	ReadWrite	
SRAMCR3	0x00000000	ReadWrite	
DBICR0	0x00000000	ReadWrite	
DBICR1	0x00000000	ReadWrite	
IPCR0	0x80000000	ReadWrite	
IPCR1	0x00000002	ReadWrite	
IPCR2	0x00000000	ReadWrite	
IPCMD	0x0000000a	ReadWrite	
IPTXDAT	0x00000033	ReadWrite	
IPRXDAT	0x00000000	ReadOnly	
STS0	0x00000001	ReadOnly	
STS1	0x00000000	ReadOnly	
STS2	0x00000000	ReadOnly	
STS3	0x00000000	ReadOnly	
STS4	0x00000000	ReadOnly	
STS5	0x00000000	ReadOnly	
STS6	0x00000000	ReadOnly	
STS7	0x00000000	ReadOnly	
STS8	0x0000000c	ReadOnly	
STS9	0x00000000	ReadOnly	
STS10	0x00000000	ReadOnly	
STS11	0x00000000	ReadOnly	
STS12	0x00000000	ReadOnly	
STS13	0x00000000	ReadOnly	
STS14	0x00000000	ReadOnly	
STS15	0x00000000	ReadOnly	
BR9	0xa0000018	ReadWrite	
BR10	0xa4000018	ReadWrite	
BR11	0xa8000018	ReadWrite	
SRAMCR4	0x00000000	ReadWrite	
SRAMCR5	0x00000000	ReadWrite	
SRAMCR6	0x00000000	ReadWrite	
